District,year,Season,temperature,temperature_max,temperature_min,humidity,rainfall
Perambalur,2025,Summer,30.1,40.0,21.5,63.4,181.0
Pudukkottai,2020,Kharif,30.1,40.5,23.9,63.0,336.0
Pudukkottai,2020,Rabi,26.5,38.7,19.3,73.2,858.0
Pudukkottai,2020,Summer,30.4,42.0,21.3,63.9,70.0
Pudukkottai,2021,Kharif,30.1,39.7,23.4,61.8,392.0
Pudukkottai,2021,Rabi,25.3,35.7,17.5,80.3,1048.0
Pudukkottai,2021,Summer,29.7,41.1,19.8,65.6,146.0
Pudukkottai,2022,Kharif,29.1,39.2,22.5,67.4,527.0
Pudukkottai,2022,Rabi,25.7,36.6,18.4,76.4,503.0
Pudukkottai,2022,Summer,29.4,40.9,20.3,66.7,134.0
Pudukkottai,2023,Kharif,30.3,41.2,23.7,63.1,449.0
Pudukkottai,2023,Rabi,25.8,36.3,16.9,77.0,737.0
Pudukkottai,2023,Summer,29.7,40.5,20.1,66.4,175.0
Pudukkottai,2024,Kharif,29.7,39.8,23.9,66.7,482.0
Pudukkottai,2024,Rabi,26.4,36.8,18.2,78.9,924.0
Pudukkottai,2024,Summer,30.2,42.2,21.2,68.0,286.0
Pudukkottai,2025,Kharif,30.2,39.9,23.7,60.3,402.0
Pudukkottai,2025,Rabi,25.8,38.5,18.1,77.8,675.0
Pudukkottai,2025,Summer,29.4,39.4,20.6,70.0,193.0
Ramanathapuram,2020,Kharif,29.8,39.2,24.1,68.2,239.0
Ramanathapuram,2020,Rabi,26.6,37.2,19.6,77.5,830.0
Ramanathapuram,2020,Summer,29.6,39.5,21.9,72.4,77.0
Ramanathapuram,2021,Kharif,29.7,38.2,23.9,67.3,235.0
Ramanathapuram,2021,Rabi,25.8,33.8,18.8,81.4,1140.0
Ramanathapuram,2021,Summer,28.9,37.5,21.0,74.2,126.0
Ramanathapuram,2022,Kharif,29.1,39.2,23.0,69.9,395.0
Ramanathapuram,2022,Rabi,26.1,36.6,19.7,78.9,656.0
Ramanathapuram,2022,Summer,28.9,37.6,21.5,74.4,183.0
Ramanathapuram,2023,Kharif,30.2,40.5,24.4,67.7,247.0
Ramanathapuram,2023,Rabi,26.1,33.9,18.8,80.0,923.0
Ramanathapuram,2023,Summer,29.0,36.6,21.6,75.7,189.0
Ramanathapuram,2024,Kharif,30.0,40.6,24.0,67.6,310.0
Ramanathapuram,2024,Rabi,26.8,33.7,19.0,80.3,867.0
Ramanathapuram,2024,Summer,29.8,38.2,21.1,73.9,319.0
Ramanathapuram,2025,Kharif,30.4,40.5,24.4,64.0,309.0
